case_id,primary_rule_id,case_design_type,rule_behaviour,section,context_before,target_sentence,context_after,surface_feature,provisional_expected_decision,provisional_rationale,protected_context,severity_if_flagged,synthetic,reviewer_1_decision,reviewer_1_confidence,reviewer_2_decision,reviewer_2_confidence,adjudicated_decision,adjudication_notes
"AVA-C001","ACP-PHR-001","CLEAR_FLAG","Flag","Discussion","The fictional comparison distinguishes two ways of grouping the same categories.","This distinction is crucial.","The passage moves directly to an unrelated limitation.","Unexplained significance term: crucial","FLAG","No consequence, scope, decision, interpretation, or affected object explains the asserted importance.","None identified","Medium","TRUE","","","","","",""
"AVA-C002","ACP-PHR-001","CLEAR_PROTECT","Flag","Findings","The synthetic analysis reports a difference between two invented scoring procedures.","The difference is statistically significant at the pre-specified threshold.","The next sentence reports the synthetic test statistic without claiming practical importance.","Term significant with defined statistical meaning","PROTECT","The term has an explicitly statistical meaning rather than functioning as an empty importance label.","Statistical significance","Medium","TRUE","","","","","",""
"AVA-C003","ACP-PHR-001","CLEAR_NO_MATCH","Flag","Methodology","The synthetic protocol introduces a routine calibration sequence.","Calibration establishes the baseline used by the later checking phase.","The next sentence describes the transformation step directly.","No significance or importance expression","NO_MATCH","The passage contains no candidate significance term or equivalent evaluative importance claim.","None needed because no candidate feature is present","Medium","TRUE","","","","","",""
"AVA-C004","ACP-PHR-001","SECTION_SENSITIVE_BOUNDARY","Flag","Literature Review","The sentence follows a synthetic summary of several unnamed conceptual positions.","This is an important development in the debate.","No source wording or later explanation is supplied in the case.","Unexplained significance term: important","UNCERTAIN","The local sentence does not explain importance, but missing source and paragraph context could contain accurate attribution or an earlier consequence.","Possible attributed or prior-context explanation cannot be checked","Medium","TRUE","","","","","",""
"AVA-C005","ACP-CLM-001","CLEAR_FLAG","Flag","Discussion","A fictional small-scope illustration considered two settings only.","This framework always improves interpretation.","No conditions, population, or supporting domain are stated.","Unbounded universal: always","FLAG","The universal extends beyond the limited scope supplied and no protected logical or bounded use applies.","None identified","High","TRUE","","","","","",""
"AVA-C006","ACP-CLM-001","CLEAR_PROTECT","Flag","Methodology","The synthetic protocol defines a closed list of four checklist items.","Every item in the four-item checklist was reviewed.","Completion was recorded separately for each item.","Universal quantifier: every","PROTECT","The universal is explicitly bounded by a fully enumerated set.","Explicitly bounded universal in an enumerated procedure","High","TRUE","","","","","",""
"AVA-C007","ACP-CLM-001","CLEAR_NO_MATCH","Flag","Findings","The fictional table contains twelve invented records.","Nine records met the stated inclusion condition.","Three records were marked incomplete.","No universal quantifier or unrestricted claim","NO_MATCH","The sentence reports a bounded count without always, never, every, all, or an equivalent universal claim.","None needed because no candidate feature is present","High","TRUE","","","","","",""
"AVA-C008","ACP-CLM-001","SECTION_SENSITIVE_BOUNDARY","Flag","Literature Review","The passage paraphrases an unnamed hypothetical source but does not provide its wording.","The source argues that such categories never overlap.","No quotation, definition, or account of the source's scope is available.","Attributed universal: never","UNCERTAIN","Accurate attribution would be protected, but the supplied case cannot establish whether the source used or supported the universal scope.","Possible accurate attribution cannot be verified","High","TRUE","","","","","",""
"AVA-C009","ACP-CLM-002","CLEAR_FLAG","Flag","Discussion","A synthetic exploratory comparison uses a narrow invented example and states no causal design.","This comparison proves that the approach succeeds in every context.","The passage supplies no deduction or conclusive evidence.","High-certainty reporting verb: proves","FLAG","The verb and unrestricted conclusion are stronger than the described exploratory evidence warrants.","None identified","High","TRUE","","","","","",""
"AVA-C010","ACP-CLM-002","CLEAR_PROTECT","Flag","General Academic Writing","Under the stated fictional axioms, both sides of the identity reduce to the same expression.","The derivation proves the identity under those assumptions.","No claim is made beyond the bounded formal result.","High-certainty verb in logical derivation: proves","PROTECT","A bounded logical derivation is a protected conclusive use.","Mathematically or logically established proposition","High","TRUE","","","","","",""
"AVA-C011","ACP-CLM-002","CLEAR_NO_MATCH","Flag","Methodology","The fictional data-transfer protocol includes an automated receipt check.","The checksum was recorded after the file transfer.","The procedure then moved to the next pre-specified step.","No reporting verb asserting evidential strength","NO_MATCH","The sentence describes a procedure without prove, confirm, demonstrate, or any equivalent high-certainty reporting claim.","None needed because no candidate feature is present","High","TRUE","","","","","",""
"AVA-C012","ACP-CLM-002","SECTION_SENSITIVE_BOUNDARY","Flag","Findings","The case names an invented analysis but gives no design, uncertainty, or inferential standard.","The analysis demonstrates the proposed relation.","No additional evidence description is supplied.","High-certainty reporting verb: demonstrates","UNCERTAIN","The evidence–verb match cannot be assessed without knowing what the analysis establishes and how the discipline uses the verb.","Possibly conclusive bounded evidence cannot be assessed","High","TRUE","","","","","",""
"AVA-C013","ACP-MET-001","CLEAR_FLAG","Flag","General Academic Writing","A heading already reads Limitations of the Framework.","This section will now discuss the limitations that this section discusses.","The next sentence begins the limitations directly.","Repeated low-information section announcement","FLAG","The announcement duplicates the heading and itself without adding purpose, sequence, relationship, or navigation.","None identified","Low","TRUE","","","","","",""
"AVA-C014","ACP-MET-001","CLEAR_PROTECT","Flag","Literature Review","The synthetic review moves across three conceptually distinct bodies of work.","This section first defines the construct, then contrasts two interpretations, and finally identifies their shared assumption.","Three corresponding subsections follow.","Roadmap phrase: this section","PROTECT","The roadmap communicates sequence and argumentative relationship in a complex synthesis.","Useful section orientation and navigation","Low","TRUE","","","","","",""
"AVA-C015","ACP-MET-001","CLEAR_NO_MATCH","Flag","Methodology","The procedure compares baseline values with the values produced after calibration.","The calibrated values determined the threshold used in the subsequent checking phase.","The following step applies that threshold to each record.","No section-announcement or roadmap metadiscourse","NO_MATCH","The passage states a substantive procedural relationship and contains no candidate metadiscourse feature.","None needed because no candidate feature is present","Low","TRUE","","","","","",""
"AVA-C016","ACP-MET-001","SECTION_SENSITIVE_BOUNDARY","Flag","Findings","The target opens a long synthetic results section whose final layout is not supplied.","This section presents the results of the analysis.","The available extract begins with one result group but omits headings and later groups.","Generic section announcement","UNCERTAIN","The sentence may merely duplicate a heading or may orient readers across omitted result groups; the supplied context cannot establish its navigational value.","Possible major-section or accessibility-supporting orientation","Low","TRUE","","","","","",""
"AVA-C017","ACP-STR-001","CLEAR_FLAG","Flag","Discussion","The synthetic passage describes two positions that actually share assumptions and differ by degree.","This is not a modest qualification. It is a complete rejection of the approach.","The next sentence repeats the opposition without explaining the continuum.","Emphatic Not X / Y binary with repetition","FLAG","The theatrical repeated binary suppresses the stated degree relationship and relevant qualification.","None identified","Medium","TRUE","","","","","",""
"AVA-C018","ACP-STR-001","CLEAR_PROTECT","Flag","Literature Review","The fictional theories define reliability and validity as distinct constructs.","The disagreement concerns reliability, not validity.","The following synthetic comparison explains the different predictions for each construct.","Concise not-X contrast","PROTECT","The contrast states a genuine theoretical distinction and the surrounding text explains it.","Genuine theoretical distinction","Medium","TRUE","","","","","",""
"AVA-C019","ACP-STR-001","CLEAR_NO_MATCH","Flag","Methodology","The synthetic protocol assigns records to a pre-specified processing route.","Each record followed the route indicated by its index value.","The next step applied the corresponding transformation.","No binary contrast or dramatic opposition","NO_MATCH","The passage contains no Not X / But Y form or equivalent binary contrast.","None needed because no candidate feature is present","Medium","TRUE","","","","","",""
"AVA-C020","ACP-STR-001","SECTION_SENSITIVE_BOUNDARY","Flag","Findings","The invented summary reports different patterns under two conditions but omits the table and model description.","Not a shift in degree, but a change in kind.","The available extract does not show whether the categories are empirically exclusive.","Fragmented binary contrast","UNCERTAIN","The form is emphatic, but the missing results prevent a reliable judgement about oversimplification or a genuine categorical distinction.","Possible pre-specified or empirically supported distinction","Medium","TRUE","","","","","",""
"AVA-C021","ACP-STR-002","CLEAR_FLAG","Flag","General Academic Writing","The fictional paragraph has already stated that one definition will be adopted.","What is the only sensible choice? Clearly, the definition already selected.","No alternatives are examined.","Rhetorical question with immediate presupposed answer","FLAG","The question manufactures suspense and presumes agreement rather than organising a genuine inquiry.","None identified","Low","TRUE","","","","","",""
"AVA-C022","ACP-STR-002","CLEAR_PROTECT","Flag","Literature Review","Two synthetic accounts use the same term for different concepts.","How should the construct be distinguished from its measurement?","The remainder of the section compares definitions, operationalisations, and unresolved implications.","Conceptual question","PROTECT","The question genuinely organises a conceptual inquiry whose alternatives are subsequently analysed.","Genuine unresolved question organising synthesis","Low","TRUE","","","","","",""
"AVA-C023","ACP-STR-002","CLEAR_NO_MATCH","Flag","Findings","The fictional results section is organised by two pre-specified measures.","The first measure varied across the two simulated conditions.","The following sentence reports the second measure.","No question or rhetorical setup","NO_MATCH","The passage states a result directly and contains no question or equivalent suspense-building setup.","None needed because no candidate feature is present","Low","TRUE","","","","","",""
"AVA-C024","ACP-STR-002","SECTION_SENSITIVE_BOUNDARY","Flag","Discussion","The question closes a synthetic paragraph about competing interpretations.","What, then, should count as an adequate explanation?","The available case does not include the following paragraph.","Rhetorical or unresolved question","UNCERTAIN","Without the continuation, the reviewer cannot tell whether the question is genuinely examined or merely delays an obvious proposition.","Possible unresolved interpretive question","Low","TRUE","","","","","",""
"AVA-C025","ACP-PRT-001","CLEAR_FLAG","Protect","Methodology","The synthetic protocol states that two trained roles made different eligibility decisions, but neither role is named in the target.","Borderline records were excluded after review.","The exclusion depends on discretionary interpretation and affects which records remain available.","Passive construction obscuring discretionary actor","FLAG","Actor role and discretion are material to reproducibility, yet the responsible reviewer is not identifiable from context; the full review condition is met, not passive voice alone.","Protection fails because an important actor is hidden","Not applicable","TRUE","","","","","",""
"AVA-C026","ACP-PRT-001","CLEAR_PROTECT","Protect","Methodology","The fictional storage specification has already defined the required temperature range.","The samples were stored at the specified temperature.","No discretionary decision or actor-dependent interpretation is involved.","Conventional procedural passive voice","PROTECT","The sentence appropriately focuses on the samples and process; actor identity adds no material information.","Standard procedure with immaterial actor","Not applicable","TRUE","","","","","",""
"AVA-C027","ACP-PRT-001","CLEAR_NO_MATCH","Protect","Findings","The synthetic analysis plan names the analyst and pre-specifies an automated transformation.","The named analyst applied the pre-specified function to the scores.","The transformation contained no discretionary choice at this stage.","Active voice with an explicit actor","NO_MATCH","The passage contains no passive construction, so the passive-voice protection rule has no candidate feature to assess.","None needed because no candidate feature is present","Not applicable","TRUE","","","","","",""
"AVA-C028","ACP-PRT-001","SECTION_SENSITIVE_BOUNDARY","Protect","Discussion","The target refers to an invented recommendation but the passage does not identify who issued it or whether anonymity is required.","It was decided that the framework should be retained.","No decision process, responsibility, or ethical constraint is supplied.","Agentless passive decision","UNCERTAIN","The actor may be material to responsibility, but missing governance and anonymity context prevents deciding whether protection or review is appropriate.","Possible ethical anonymity or immaterial actor cannot be assessed","Not applicable","TRUE","","","","","",""
"AVA-C029","ACP-PRT-002","CLEAR_FLAG","Protect","Discussion","The synthetic paragraph otherwise states a single cautiously bounded interpretation.","The pattern may perhaps possibly appear likely to reflect a difference.","No distinct source, scope, probability, or attribution function is assigned to the stacked markers.","Functionally redundant stacked hedges","FLAG","The accumulation obscures the intended confidence and has no supplied distinct functions; the full review condition is met, not hedging alone.","Protection fails because stacking is meaning-obscuring and redundant","Not applicable","TRUE","","","","","",""
"AVA-C030","ACP-PRT-002","CLEAR_PROTECT","Protect","Findings","The fictional estimate varies across simulated conditions and the passage states a limited inferential scope.","The pattern may reflect a difference under the stated conditions.","The next sentence reports uncertainty without strengthening the conclusion.","Single calibrated hedge: may","PROTECT","The hedge responsibly calibrates an inference to uncertainty and stated conditions.","Calibrated uncertainty and responsible generalisation","Not applicable","TRUE","","","","","",""
"AVA-C031","ACP-PRT-002","CLEAR_NO_MATCH","Protect","Literature Review","The synthetic review compares two conceptual definitions.","The two definitions assign different boundaries to the construct.","The next sentence explains the conceptual consequence.","No hedge or uncertainty marker","NO_MATCH","The claim contains no hedge, approximation, cautious attribution, or equivalent uncertainty marker.","None needed because no candidate feature is present","Not applicable","TRUE","","","","","",""
"AVA-C032","ACP-PRT-002","SECTION_SENSITIVE_BOUNDARY","Protect","Methodology","The measurement description does not state whether the sentence summarises most observations or gives an approximate central value.","The values were generally around ten units.","No distribution, precision standard, or reporting convention is supplied.","Potentially distinct or redundant calibration markers: generally and around","UNCERTAIN","“Generally” may describe frequency across observations, while “around” may approximate magnitude. The supplied context does not establish whether the two markers perform distinct functions or create redundant vagueness.","Possible distinct frequency and approximation functions cannot be assessed","Not applicable","TRUE","","","","","",""
